1,SistemaCore1,2,3,
103,Scanner2,2,7,
104,ProtecaoEmail2,3,8,
105,FirewallCloud2,1,2,DISCO
106,EditorImagem2,2,3,
107,EditorAudio2,3,4,
108,EditorVideo2,1,5,
109,Gravador2,2,6,
110,Debug2,3,7,DISCO
111,Compilador2,1,8,
112,Grafico2,2,2,
113,SistemaCore3,3,3,
114,Antivirus3,1,4,
115,Firewall3,2,5,DISCO
116,Navegador3,3,6,
117,Editor3,1,7,
118,Calculadora3,2,8,
119,Player3,3,2,
120,Backup3,1,3,DISCO
121,Limpeza3,2,4,
122,Monitor3,3,5,
123,Agenda3,1,6,
124,Terminal3,2,7,
125,Impressora3,3,8,DISCO
126,Musica3,1,2,
127,Video3,2,3,
128,Mensageiro3,3,4,
129,Relogio3,1,5,
130,Anotacoes3,2,6,DISCO
131,PDFReader3,3,7,
132,GerenciadorTarefas3,1,8,
133,ControleRede3,2,2,
134,Atualizador3,3,3,
135,SegurancaExtra3,1,4,DISCO
136,Browser23,2,5,
137,EditorTexto3,3,6,
138,Planilha3,1,7,
139,Apresentacao3,2,8,
140,IDE3,3,2,DISCO
141,CodigoFonte3,1,3,
142,Relatorios3,2,4,
143,Streaming3,3,5,
144,Dashboard3,1,6,
145,Logs3,2,7,DISCO
146,Auditoria3,3,8,
147,Profiler3,1,2,
148,Simulador3,2,3,
149,Scheduler3,3,4,
150,DriverUpdate3,1,5,DISCO
151,DefesaWeb3,2,6,
152,Docs3,3,7,
153,Slides3,1,8,
154,Tarefas3,2,2,
155,Imagens3,3,3,DISCO
156,CloudSync3,1,4,
157,ServidorLocal3,2,5,
158,Camera3,3,6,
159,Scanner3,1,7,
160,ProtecaoEmail3,2,8,DISCO
161,FirewallCloud3,3,2,
162,EditorImagem3,1,3,
163,EditorAudio3,2,4,
164,EditorVideo3,3,5,
165,Gravador3,1,6,DISCO
166,Debug3,2,7,
167,Compilador3,3,8,
168,Grafico3,1,2,
169,SistemaCore4,2,3,
170,Antivirus4,3,4,DISCO
171,Firewall4,1,5,
172,Navegador4,2,6,
173,Editor4,3,7,
174,Calculadora4,1,8,
175,Player4,2,2,DISCO
176,Backup4,3,3,
177,Limpeza4,1,4,
178,Monitor4,2,5,
179,Agenda4,3,6,
180,Terminal4,1,7,DISCO
181,Impressora4,2,8,
182,Musica4,3,2,
183,Video4,1,3,
184,Mensageiro4,2,4,
185,Relogio4,3,5,DISCO
186,Anotacoes4,1,6,
187,PDFReader4,2,7,
188,GerenciadorTarefas4,3,8,
189,ControleRede4,1,2,
190,Atualizador4,2,3,DISCO
191,SegurancaExtra4,3,4,
192,Browser24,1,5,
193,EditorTexto4,2,6,
194,Planilha4,3,7,
195,Apresentacao4,1,8,DISCO
196,IDE4,2,2,
197,CodigoFonte4,3,3,
198,Relatorios4,1,4,
199,Streaming4,2,5,
200,Dashboard4,3,6,DISCO
201,Logs4,1,7,
202,Auditoria4,2,8,
203,Profiler4,3,2,
204,Simulador4,1,3,
205,Scheduler4,2,4,DISCO
206,DriverUpdate4,3,5,
207,DefesaWeb4,1,6,
208,Docs4,2,7,
209,Slides4,3,8,
210,Tarefas4,1,2,DISCO
211,Imagens4,2,3,
212,CloudSync4,3,4,
213,ServidorLocal4,1,5,
214,Camera4,2,6,
215,Scanner4,3,7,DISCO
216,ProtecaoEmail4,1,8,
217,FirewallCloud4,2,2,
218,EditorImagem4,3,3,
219,EditorAudio4,1,4,
220,EditorVideo4,2,5,DISCO
221,Gravador4,3,6,
222,Debug4,1,7,
223,Compilador4,2,8,
224,Grafico4,3,2,
225,SistemaCore5,1,3,DISCO
226,Antivirus5,2,4,
227,Firewall5,3,5,
228,Navegador5,1,6,
229,Editor5,2,7,
230,Calculadora5,3,8,DISCO
231,Player5,1,2,
232,Backup5,2,3,
233,Limpeza5,3,4,
234,Monitor5,1,5,
235,Agenda5,2,6,DISCO
236,Terminal5,3,7,
237,Impressora5,1,8,
238,Musica5,2,2,
239,Video5,3,3,
240,Mensageiro5,1,4,DISCO
241,Relogio5,2,5,
242,Anotacoes5,3,6,
243,PDFReader5,1,7,
244,GerenciadorTarefas5,2,8,
245,ControleRede5,3,2,DISCO
246,Atualizador5,1,3,
247,SegurancaExtra5,2,4,
248,Browser25,3,5,
249,EditorTexto5,1,6,
250,Planilha5,2,7,DISCO
251,Apresentacao5,3,8,
252,IDE5,1,2,
253,CodigoFonte5,2,3,
254,Relatorios5,3,4,
255,Streaming5,1,5,DISCO
256,Dashboard5,2,6,
257,Logs5,3,7,
258,Auditoria5,1,8,
259,Profiler5,2,2,
260,Simulador5,3,3,DISCO
261,Scheduler5,1,4,
262,DriverUpdate5,2,5,
263,DefesaWeb5,3,6,
264,Docs5,1,7,
265,Slides5,2,8,DISCO
266,Tarefas5,3,2,
267,Imagens5,1,3,
268,CloudSync5,2,4,
269,ServidorLocal5,3,5,
270,Camera5,1,6,DISCO
271,Scanner5,2,7,
272,ProtecaoEmail5,3,8,
273,FirewallCloud5,1,2,
274,EditorImagem5,2,3,
275,EditorAudio5,3,4,DISCO
276,EditorVideo5,1,5,
277,Gravador5,2,6,
278,Debug5,3,7,
279,Compilador5,1,8,
280,Grafico5,2,2,DISCO
281,SistemaCore6,3,3,
282,Antivirus6,1,4,
283,Firewall6,2,5,
284,Navegador6,3,6,
285,Editor6,1,7,DISCO
286,Calculadora6,2,8,
287,Player6,3,2,
288,Backup6,1,3,
289,Limpeza6,2,4,
290,Monitor6,3,5,DISCO
291,Agenda6,1,6,
292,Terminal6,2,7,
293,Impressora6,3,8,
294,Musica6,1,2,
295,Video6,2,3,DISCO
296,Mensageiro6,3,4,
297,Relogio6,1,5,
298,Anotacoes6,2,6,
299,PDFReader6,3,7,
300,GerenciadorTarefas6,1,8,DISCO
301,ControleRede6,2,2,
302,Atualizador6,3,3,
303,SegurancaExtra6,1,4,
304,Browser26,2,5,
305,EditorTexto6,3,6,DISCO
306,Planilha6,1,7,
307,Apresentacao6,2,8,
308,IDE6,3,2,
309,CodigoFonte6,1,3,
310,Relatorios6,2,4,DISCO
311,Streaming6,3,5,
312,Dashboard6,1,6,
313,Logs6,2,7,
314,Auditoria6,3,8,
315,Profiler6,1,2,DISCO
316,Simulador6,2,3,
317,Scheduler6,3,4,
318,DriverUpdate6,1,5,
319,DefesaWeb6,2,6,
320,Docs6,3,7,DISCO
321,Slides6,1,8,
322,Tarefas6,2,2,
323,Imagens6,3,3,
324,CloudSync6,1,4,
325,ServidorLocal6,2,5,DISCO
326,Camera6,3,6,
327,Scanner6,1,7,
328,ProtecaoEmail6,2,8,
329,FirewallCloud6,3,2,
330,EditorImagem6,1,3,DISCO
331,EditorAudio6,2,4,
332,EditorVideo6,3,5,
333,Gravador6,1,6,
334,Debug6,2,7,
335,Compilador6,3,8,DISCO
336,Grafico6,1,2,
337,SistemaCore7,2,3,
338,Antivirus7,3,4,
339,Firewall7,1,5,
340,Navegador7,2,6,DISCO
341,Editor7,3,7,
342,Calculadora7,1,8,
343,Player7,2,2,
344,Backup7,3,3,
345,Limpeza7,1,4,DISCO
346,Monitor7,2,5,
347,Agenda7,3,6,
348,Terminal7,1,7,
349,Impressora7,2,8,
350,Musica7,3,2,DISCO
351,Video7,1,3,
352,Mensageiro7,2,4,
353,Relogio7,3,5,
354,Anotacoes7,1,6,
355,PDFReader7,2,7,DISCO
356,GerenciadorTarefas7,3,8,
357,ControleRede7,1,2,
358,Atualizador7,2,3,
359,SegurancaExtra7,3,4,
360,Browser27,1,5,DISCO
361,EditorTexto7,2,6,
362,Planilha7,3,7,
363,Apresentacao7,1,8,
364,IDE7,2,2,
365,CodigoFonte7,3,3,DISCO
366,Relatorios7,1,4,
367,Streaming7,2,5,
368,Dashboard7,3,6,
369,Logs7,1,7,
370,Auditoria7,2,8,DISCO
371,Profiler7,3,2,
372,Simulador7,1,3,
373,Scheduler7,2,4,
374,DriverUpdate7,3,5,
375,DefesaWeb7,1,6,DISCO
376,Docs7,2,7,
377,Slides7,3,8,
378,Tarefas7,1,2,
379,Imagens7,2,3,
380,CloudSync7,3,4,DISCO
381,ServidorLocal7,1,5,
382,Camera7,2,6,
383,Scanner7,3,7,
384,ProtecaoEmail7,1,8,
385,FirewallCloud7,2,2,DISCO
386,EditorImagem7,3,3,
387,EditorAudio7,1,4,
388,EditorVideo7,2,5,
389,Gravador7,3,6,
390,Debug7,1,7,DISCO
391,Compilador7,2,8,
392,Grafico7,3,2,
393,SistemaCore8,1,3,
394,Antivirus8,2,4,
395,Firewall8,3,5,DISCO
396,Navegador8,1,6,
397,Editor8,2,7,
398,Calculadora8,3,8,
399,Player8,1,2,
400,Backup8,2,3,DISCO
401,Limpeza8,3,4,
402,Monitor8,1,5,
403,Agenda8,2,6,
404,Terminal8,3,7,
405,Impressora8,1,8,DISCO
406,Musica8,2,2,
407,Video8,3,3,
408,Mensageiro8,1,4,
409,Relogio8,2,5,
410,Anotacoes8,3,6,DISCO
411,PDFReader8,1,7,
412,GerenciadorTarefas8,2,8,
413,ControleRede8,3,2,
414,Atualizador8,1,3,
415,SegurancaExtra8,2,4,DISCO
416,Browser28,3,5,
417,EditorTexto8,1,6,
418,Planilha8,2,7,
419,Apresentacao8,3,8,
420,IDE8,1,2,DISCO
421,CodigoFonte8,2,3,
422,Relatorios8,3,4,
423,Streaming8,1,5,
424,Dashboard8,2,6,
425,Logs8,3,7,DISCO
426,Auditoria8,1,8,
427,Profiler8,2,2,
428,Simulador8,3,3,
429,Scheduler8,1,4,
430,DriverUpdate8,2,5,DISCO
431,DefesaWeb8,3,6,
432,Docs8,1,7,
433,Slides8,2,8,
434,Tarefas8,3,2,
435,Imagens8,1,3,DISCO
436,CloudSync8,2,4,
437,ServidorLocal8,3,5,
438,Camera8,1,6,
439,Scanner8,2,7,
440,ProtecaoEmail8,3,8,DISCO
441,FirewallCloud8,1,2,
442,EditorImagem8,2,3,
443,EditorAudio8,3,4,
444,EditorVideo8,1,5,
445,Gravador8,2,6,DISCO
446,Debug8,3,7,
447,Compilador8,1,8,
448,Grafico8,2,2,
449,SistemaCore9,3,3,
450,Antivirus9,1,4,DISCO
451,Firewall9,2,5,
452,Navegador9,3,6,
453,Editor9,1,7,
454,Calculadora9,2,8,
455,Player9,3,2,DISCO
456,Backup9,1,3,
457,Limpeza9,2,4,
458,Monitor9,3,5,
459,Agenda9,1,6,
460,Terminal9,2,7,DISCO
461,Impressora9,3,8,
462,Musica9,1,2,
463,Video9,2,3,
464,Mensageiro9,3,4,
465,Relogio9,1,5,DISCO
466,Anotacoes9,2,6,
467,PDFReader9,3,7,
468,GerenciadorTarefas9,1,8,
469,ControleRede9,2,2,
470,Atualizador9,3,3,DISCO
471,SegurancaExtra9,1,4,
472,Browser29,2,5,
473,EditorTexto9,3,6,
474,Planilha9,1,7,
475,Apresentacao9,2,8,DISCO
476,IDE9,3,2,
477,CodigoFonte9,1,3,
478,Relatorios9,2,4,
479,Streaming9,3,5,
480,Dashboard9,1,6,DISCO
481,Logs9,2,7,
482,Auditoria9,3,8,
483,Profiler9,1,2,
484,Simulador9,2,3,
485,Scheduler9,3,4,DISCO
486,DriverUpdate9,1,5,
487,DefesaWeb9,2,6,
488,Docs9,3,7,
489,Slides9,1,8,
490,Tarefas9,2,2,DISCO
491,Imagens9,3,3,
492,CloudSync9,1,4,
493,ServidorLocal9,2,5,
494,Camera9,3,6,
495,Scanner9,1,7,DISCO
496,ProtecaoEmail9,2,8,
497,FirewallCloud9,3,2,
498,EditorImagem9,1,3,
499,EditorAudio9,2,4,
500,EditorVideo9,3,5,DISCO
501,Gravador9,1,6,
502,Debug9,2,7,
503,Compilador9,3,8,
504,Grafico9,1,2,
505,SistemaCore10,2,3,DISCO
506,Antivirus10,3,4,
507,Firewall10,1,5,
508,Navegador10,2,6,
509,Editor10,3,7,
510,Calculadora10,1,8,DISCO
511,Player10,2,2,
512,Backup10,3,3,
513,Limpeza10,1,4,
514,Monitor10,2,5,
515,Agenda10,3,6,DISCO
516,Terminal10,1,7,
517,Impressora10,2,8,
518,Musica10,3,2,
519,Video10,1,3,
520,Mensageiro10,2,4,DISCO
521,Relogio10,3,5,
522,Anotacoes10,1,6,
523,PDFReader10,2,7,
524,GerenciadorTarefas10,3,8,
525,ControleRede10,1,2,DISCO
526,Atualizador10,2,3,
527,SegurancaExtra10,3,4,
528,Browser210,1,5,
529,EditorTexto10,2,6,
530,Planilha10,3,7,DISCO
531,Apresentacao10,1,8,
532,IDE10,2,2,
533,CodigoFonte10,3,3,
534,Relatorios10,1,4,
535,Streaming10,2,5,DISCO
536,Dashboard10,3,6,
537,Logs10,1,7,
538,Auditoria10,2,8,
539,Profiler10,3,2,
540,Simulador10,1,3,DISCO
541,Scheduler10,2,4,
542,DriverUpdate10,3,5,
543,DefesaWeb10,1,6,
544,Docs10,2,7,
545,Slides10,3,8,DISCO
546,Tarefas10,1,2,
547,Imagens10,2,3,
548,CloudSync10,3,4,
549,ServidorLocal10,1,5,
550,Camera10,2,6,DISCO
551,Scanner10,3,7,
552,ProtecaoEmail10,1,8,
553,FirewallCloud10,2,2,
554,EditorImagem10,3,3,
555,EditorAudio10,1,4,DISCO
556,EditorVideo10,2,5,
557,Gravador10,3,6,
558,Debug10,1,7,
559,Compilador10,2,8,
560,Grafico10,3,2,DISCO
561,SistemaCore11,1,3,
562,Antivirus11,2,4,
563,Firewall11,3,5,
564,Navegador11,1,6,
565,Editor11,2,7,DISCO
566,Calculadora11,3,8,
567,Player11,1,2,
568,Backup11,2,3,
569,Limpeza11,3,4,
570,Monitor11,1,5,DISCO
571,Agenda11,2,6,
572,Terminal11,3,7,
573,Impressora11,1,8,
574,Musica11,2,2,
575,Video11,3,3,DISCO
576,Mensageiro11,1,4,
577,Relogio11,2,5,
578,Anotacoes11,3,6,
579,PDFReader11,1,7,
580,GerenciadorTarefas11,2,8,DISCO
581,ControleRede11,3,2,
582,Atualizador11,1,3,
583,SegurancaExtra11,2,4,
584,Browser211,3,5,
585,EditorTexto11,1,6,DISCO
586,Planilha11,2,7,
587,Apresentacao11,3,8,
588,IDE11,1,2,
589,CodigoFonte11,2,3,
590,Relatorios11,3,4,DISCO
591,Streaming11,1,5,
592,Dashboard11,2,6,
593,Logs11,3,7,
594,Auditoria11,1,8,
595,Profiler11,2,2,DISCO
596,Simulador11,3,3,
597,Scheduler11,1,4,
598,DriverUpdate11,2,5,
599,DefesaWeb11,3,6,
600,Docs11,1,7,DISCO
601,Slides11,2,8,
602,Tarefas11,3,2,
603,Imagens11,1,3,
604,CloudSync11,2,4,
605,ServidorLocal11,3,5,DISCO
606,Camera11,1,6,
607,Scanner11,2,7,
608,ProtecaoEmail11,3,8,
609,FirewallCloud11,1,2,
610,EditorImagem11,2,3,DISCO
611,EditorAudio11,3,4,
612,EditorVideo11,1,5,
613,Gravador11,2,6,
614,Debug11,3,7,
615,Compilador11,1,8,DISCO
616,Grafico11,2,2,
617,SistemaCore12,3,3,
618,Antivirus12,1,4,
619,Firewall12,2,5,
620,Navegador12,3,6,DISCO
621,Editor12,1,7,
622,Calculadora12,2,8,
623,Player12,3,2,
624,Backup12,1,3,
625,Limpeza12,2,4,DISCO
626,Monitor12,3,5,
627,Agenda12,1,6,
628,Terminal12,2,7,
629,Impressora12,3,8,
630,Musica12,1,2,DISCO
631,Video12,2,3,
632,Mensageiro12,3,4,
633,Relogio12,1,5,
634,Anotacoes12,2,6,
635,PDFReader12,3,7,DISCO
636,GerenciadorTarefas12,1,8,
637,ControleRede12,2,2,
638,Atualizador12,3,3,
639,SegurancaExtra12,1,4,
640,Browser212,2,5,DISCO
641,EditorTexto12,3,6,
642,Planilha12,1,7,
643,Apresentacao12,2,8,
644,IDE12,3,2,
645,CodigoFonte12,1,3,DISCO
646,Relatorios12,2,4,
647,Streaming12,3,5,
648,Dashboard12,1,6,
649,Logs12,2,7,
650,Auditoria12,3,8,DISCO
651,Profiler12,1,2,
652,Simulador12,2,3,
653,Scheduler12,3,4,
654,DriverUpdate12,1,5,
655,DefesaWeb12,2,6,DISCO
656,Docs12,3,7,
657,Slides12,1,8,
658,Tarefas12,2,2,
659,Imagens12,3,3,
660,CloudSync12,1,4,DISCO
661,ServidorLocal12,2,5,
662,Camera12,3,6,
663,Scanner12,1,7,
664,ProtecaoEmail12,2,8,
665,FirewallCloud12,3,2,DISCO
666,EditorImagem12,1,3,
667,EditorAudio12,2,4,
668,EditorVideo12,3,5,
669,Gravador12,1,6,
670,Debug12,2,7,DISCO
671,Compilador12,3,8,
672,Grafico12,1,2,
673,SistemaCore13,2,3,
674,Antivirus13,3,4,
675,Firewall13,1,5,DISCO
676,Navegador13,2,6,
677,Editor13,3,7,
678,Calculadora13,1,8,
679,Player13,2,2,
680,Backup13,3,3,DISCO
681,Limpeza13,1,4,
682,Monitor13,2,5,
683,Agenda13,3,6,
684,Terminal13,1,7,
685,Impressora13,2,8,DISCO
686,Musica13,3,2,
687,Video13,1,3,
688,Mensageiro13,2,4,
689,Relogio13,3,5,
690,Anotacoes13,1,6,DISCO
691,PDFReader13,2,7,
692,GerenciadorTarefas13,3,8,
693,ControleRede13,1,2,
694,Atualizador13,2,3,
695,SegurancaExtra13,3,4,DISCO
696,Browser213,1,5,
697,EditorTexto13,2,6,
698,Planilha13,3,7,
699,Apresentacao13,1,8,
700,IDE13,2,2,DISCO
701,CodigoFonte13,3,3,
702,Relatorios13,1,4,
703,Streaming13,2,5,
704,Dashboard13,3,6,
705,Logs13,1,7,DISCO
706,Auditoria13,2,8,
707,Profiler13,3,2,
708,Simulador13,1,3,
709,Scheduler13,2,4,
710,DriverUpdate13,3,5,DISCO
711,DefesaWeb13,1,6,
712,Docs13,2,7,
713,Slides13,3,8,
714,Tarefas13,1,2,
715,Imagens13,2,3,DISCO
716,CloudSync13,3,4,
717,ServidorLocal13,1,5,
718,Camera13,2,6,
719,Scanner13,3,7,
720,ProtecaoEmail13,1,8,DISCO
721,FirewallCloud13,2,2,
722,EditorImagem13,3,3,
723,EditorAudio13,1,4,
724,EditorVideo13,2,5,
725,Gravador13,3,6,DISCO
726,Debug13,1,7,
727,Compilador13,2,8,
728,Grafico13,3,2,
729,SistemaCore14,1,3,
730,Antivirus14,2,4,DISCO
731,Firewall14,3,5,
732,Navegador14,1,6,
733,Editor14,2,7,
734,Calculadora14,3,8,
735,Player14,1,2,DISCO
736,Backup14,2,3,
737,Limpeza14,3,4,
738,Monitor14,1,5,
739,Agenda14,2,6,
740,Terminal14,3,7,DISCO
741,Impressora14,1,8,
742,Musica14,2,2,
743,Video14,3,3,
744,Mensageiro14,1,4,
745,Relogio14,2,5,DISCO
746,Anotacoes14,3,6,
747,PDFReader14,1,7,
748,GerenciadorTarefas14,2,8,
749,ControleRede14,3,2,
750,Atualizador14,1,3,DISCO
751,SegurancaExtra14,2,4,
752,Browser214,3,5,
753,EditorTexto14,1,6,
754,Planilha14,2,7,
755,Apresentacao14,3,8,DISCO
756,IDE14,1,2,
757,CodigoFonte14,2,3,
758,Relatorios14,3,4,
759,Streaming14,1,5,
760,Dashboard14,2,6,DISCO
761,Logs14,3,7,
762,Auditoria14,1,8,
763,Profiler14,2,2,
764,Simulador14,3,3,
765,Scheduler14,1,4,DISCO
766,DriverUpdate14,2,5,
767,DefesaWeb14,3,6,
768,Docs14,1,7,
769,Slides14,2,8,
770,Tarefas14,3,2,DISCO
771,Imagens14,1,3,
772,CloudSync14,2,4,
773,ServidorLocal14,3,5,
774,Camera14,1,6,
775,Scanner14,2,7,DISCO
776,ProtecaoEmail14,3,8,
777,FirewallCloud14,1,2,
778,EditorImagem14,2,3,
779,EditorAudio14,3,4,
780,EditorVideo14,1,5,DISCO
781,Gravador14,2,6,
782,Debug14,3,7,
783,Compilador14,1,8,
784,Grafico14,2,2,
785,SistemaCore15,3,3,DISCO
786,Antivirus15,1,4,
787,Firewall15,2,5,
788,Navegador15,3,6,
789,Editor15,1,7,
790,Calculadora15,2,8,DISCO
791,Player15,3,2,
792,Backup15,1,3,
793,Limpeza15,2,4,
794,Monitor15,3,5,
795,Agenda15,1,6,DISCO
796,Terminal15,2,7,
797,Impressora15,3,8,
798,Musica15,1,2,
799,Video15,2,3,
800,Mensageiro15,3,4,DISCO
801,Relogio15,1,5,
802,Anotacoes15,2,6,
803,PDFReader15,3,7,
804,GerenciadorTarefas15,1,8,
805,ControleRede15,2,2,DISCO
806,Atualizador15,3,3,
807,SegurancaExtra15,1,4,
808,Browser215,2,5,
809,EditorTexto15,3,6,
810,Planilha15,1,7,DISCO
811,Apresentacao15,2,8,
812,IDE15,3,2,
813,CodigoFonte15,1,3,
814,Relatorios15,2,4,
815,Streaming15,3,5,DISCO
816,Dashboard15,1,6,
817,Logs15,2,7,
818,Auditoria15,3,8,
819,Profiler15,1,2,
820,Simulador15,2,3,DISCO
821,Scheduler15,3,4,
822,DriverUpdate15,1,5,
823,DefesaWeb15,2,6,
824,Docs15,3,7,
825,Slides15,1,8,DISCO
826,Tarefas15,2,2,
827,Imagens15,3,3,
828,CloudSync15,1,4,
829,ServidorLocal15,2,5,
830,Camera15,3,6,DISCO
831,Scanner15,1,7,
832,ProtecaoEmail15,2,8,
833,FirewallCloud15,3,2,
834,EditorImagem15,1,3,
835,EditorAudio15,2,4,DISCO
836,EditorVideo15,3,5,
837,Gravador15,1,6,
838,Debug15,2,7,
839,Compilador15,3,8,
840,Grafico15,1,2,DISCO
841,SistemaCore16,2,3,
842,Antivirus16,3,4,
843,Firewall16,1,5,
844,Navegador16,2,6,
845,Editor16,3,7,DISCO
846,Calculadora16,1,8,
847,Player16,2,2,
848,Backup16,3,3,
849,Limpeza16,1,4,
850,Monitor16,2,5,DISCO
851,Agenda16,3,6,
852,Terminal16,1,7,
853,Impressora16,2,8,
854,Musica16,3,2,
855,Video16,1,3,DISCO
856,Mensageiro16,2,4,
857,Relogio16,3,5,
858,Anotacoes16,1,6,
859,PDFReader16,2,7,
860,GerenciadorTarefas16,3,8,DISCO
861,ControleRede16,1,2,
862,Atualizador16,2,3,
863,SegurancaExtra16,3,4,
864,Browser216,1,5,
865,EditorTexto16,2,6,DISCO
866,Planilha16,3,7,
867,Apresentacao16,1,8,
868,IDE16,2,2,
869,CodigoFonte16,3,3,
870,Relatorios16,1,4,DISCO
871,Streaming16,2,5,
872,Dashboard16,3,6,
873,Logs16,1,7,
874,Auditoria16,2,8,
875,Profiler16,3,2,DISCO
876,Simulador16,1,3,
877,Scheduler16,2,4,
878,DriverUpdate16,3,5,
879,DefesaWeb16,1,6,
880,Docs16,2,7,DISCO
881,Slides16,3,8,
882,Tarefas16,1,2,
883,Imagens16,2,3,
884,CloudSync16,3,4,
885,ServidorLocal16,1,5,DISCO
886,Camera16,2,6,
887,Scanner16,3,7,
888,ProtecaoEmail16,1,8,
889,FirewallCloud16,2,2,
890,EditorImagem16,3,3,DISCO
891,EditorAudio16,1,4,
892,EditorVideo16,2,5,
893,Gravador16,3,6,
894,Debug16,1,7,
895,Compilador16,2,8,DISCO
896,Grafico16,3,2,
897,SistemaCore17,1,3,
898,Antivirus17,2,4,
899,Firewall17,3,5,
900,Navegador17,1,6,DISCO
901,Editor17,2,7,
902,Calculadora17,3,8,
903,Player17,1,2,
904,Backup17,2,3,
905,Limpeza17,3,4,DISCO
906,Monitor17,1,5,
907,Agenda17,2,6,
908,Terminal17,3,7,
909,Impressora17,1,8,
910,Musica17,2,2,DISCO
911,Video17,3,3,
912,Mensageiro17,1,4,
913,Relogio17,2,5,
914,Anotacoes17,3,6,
915,PDFReader17,1,7,DISCO
916,GerenciadorTarefas17,2,8,
917,ControleRede17,3,2,
918,Atualizador17,1,3,
919,SegurancaExtra17,2,4,
920,Browser217,3,5,DISCO
921,EditorTexto17,1,6,
922,Planilha17,2,7,
923,Apresentacao17,3,8,
924,IDE17,1,2,
925,CodigoFonte17,2,3,DISCO
926,Relatorios17,3,4,
927,Streaming17,1,5,
928,Dashboard17,2,6,
929,Logs17,3,7,
930,Auditoria17,1,8,DISCO
931,Profiler17,2,2,
932,Simulador17,3,3,
933,Scheduler17,1,4,
934,DriverUpdate17,2,5,
935,DefesaWeb17,3,6,DISCO
936,Docs17,1,7,
937,Slides17,2,8,
938,Tarefas17,3,2,
939,Imagens17,1,3,
940,CloudSync17,2,4,DISCO
941,ServidorLocal17,3,5,
942,Camera17,1,6,
943,Scanner17,2,7,
944,ProtecaoEmail17,3,8,
945,FirewallCloud17,1,2,DISCO
946,EditorImagem17,2,3,
947,EditorAudio17,3,4,
948,EditorVideo17,1,5,
949,Gravador17,2,6,
950,Debug17,3,7,DISCO
951,Compilador17,1,8,
952,Grafico17,2,2,
953,SistemaCore18,3,3,
954,Antivirus18,1,4,
955,Firewall18,2,5,DISCO
956,Navegador18,3,6,
957,Editor18,1,7,
958,Calculadora18,2,8,
959,Player18,3,2,
